,rank,artist,artist_list,song,ratings,hits,type,song_link,artist_link,star_count
29,30,Train,['Train'],Hey Soul Sister (ver 2),"9,881","13,095,614",chords,https://tabs.ultimate-guitar.com/tab/train/hey-soul-sister-chords-884388,https://www.ultimate-guitar.com/artist/train_250,5.0
30,31,Plain White T's,"[""Plain White T's""]",Hey There Delilah (ver 2),"12,427","12,625,520",chords,https://tabs.ultimate-guitar.com/tab/plain-white-ts/hey-there-delilah-chords-337676,https://www.ultimate-guitar.com/artist/plain_white_ts_3257,5.0
31,32,The Beatles,['The Beatles'],Let It Be,"12,242","12,601,593",chords,https://tabs.ultimate-guitar.com/tab/the-beatles/let-it-be-chords-17427,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
32,33,"Misc Soundtrack/Lady Gaga, Bradley Cooper","['Misc Soundtrack', 'Lady Gaga', 'Bradley Cooper']",A Star Is Born - Shallow (ver 2),"19,349","12,424,350",chords,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/a-star-is-born-shallow-chords-2488086,https://www.ultimate-guitar.com/artist/misc_soundtrack_910,5.0
33,34,John Denver,['John Denver'],Take Me Home Country Roads (ver 5),"18,118","12,364,870",chords,https://tabs.ultimate-guitar.com/tab/john-denver/take-me-home-country-roads-chords-1101747,https://www.ultimate-guitar.com/artist/john_denver_10167,5.0
34,35,Oasis,['Oasis'],Wonderwall,"2,259","12,272,887",chords,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-6125,https://www.ultimate-guitar.com/artist/oasis_734,4.5
35,36,Green Day,['Green Day'],Boulevard Of Broken Dreams (ver 3),"12,390","12,187,835",chords,https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-chords-146744,https://www.ultimate-guitar.com/artist/green_day_1368,5.0
36,37,Extreme,['Extreme'],More Than Words,"7,636","11,965,847",chords,https://tabs.ultimate-guitar.com/tab/extreme/more-than-words-chords-14087,https://www.ultimate-guitar.com/artist/extreme_1498,5.0
37,38,Coldplay,['Coldplay'],Yellow (ver 2),"20,732","11,950,524",chords,https://tabs.ultimate-guitar.com/tab/coldplay/yellow-chords-114080,https://www.ultimate-guitar.com/artist/coldplay_1782,5.0
38,39,Kodaline,['Kodaline'],All I Want,"12,320","11,933,850",chords,https://tabs.ultimate-guitar.com/tab/kodaline/all-i-want-chords-1180259,https://www.ultimate-guitar.com/artist/kodaline_38213,5.0
39,40,John Lennon,['John Lennon'],Imagine,"13,856","11,808,605",chords,https://tabs.ultimate-guitar.com/tab/john-lennon/imagine-chords-9306,https://www.ultimate-guitar.com/artist/john_lennon_10753,5.0
40,41,Adele,['Adele'],Someone Like You,"15,900","11,588,923",chords,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1006751,https://www.ultimate-guitar.com/artist/adele_20519,5.0
41,42,Johnny Cash,['Johnny Cash'],Hurt,"19,446","11,548,663",chords,https://tabs.ultimate-guitar.com/tab/johnny-cash/hurt-chords-89849,https://www.ultimate-guitar.com/artist/johnny_cash_10001,5.0
42,43,The Beatles,['The Beatles'],Yesterday,"10,941","11,262,631",chords,https://tabs.ultimate-guitar.com/tab/the-beatles/yesterday-chords-17450,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
43,44,Guns N' Roses,"[""Guns N' Roses""]",Sweet Child O Mine (ver 2),"3,179","11,244,280",tab,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-tabs-57983,https://www.ultimate-guitar.com/artist/guns_n_roses_1367,4.5
44,45,Imagine Dragons,['Imagine Dragons'],Radioactive,"20,698","11,167,895",chords,https://tabs.ultimate-guitar.com/tab/imagine-dragons/radioactive-chords-1171909,https://www.ultimate-guitar.com/artist/imagine_dragons_36784,5.0
45,46,The Cranberries,['The Cranberries'],Zombie,"16,745","10,857,531",chords,https://tabs.ultimate-guitar.com/tab/the-cranberries/zombie-chords-844902,https://www.ultimate-guitar.com/artist/the_cranberries_1779,5.0
46,47,Creedence Clearwater Revival,['Creedence Clearwater Revival'],Have You Ever Seen The Rain,"22,744","10,833,734",chords,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/have-you-ever-seen-the-rain-chords-56479,https://www.ultimate-guitar.com/artist/creedence_clearwater_revival_1746,5.0
47,48,Lewis Capaldi,['Lewis Capaldi'],Someone You Loved,"23,032","10,811,031",chords,https://tabs.ultimate-guitar.com/tab/lewis-capaldi/someone-you-loved-chords-2512737,https://www.ultimate-guitar.com/artist/lewis_capaldi_76757,5.0
48,49,The Beatles,['The Beatles'],Hey Jude,"4,597","10,783,507",chords,https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords-17275,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
49,50,Frank Sinatra,['Frank Sinatra'],Fly Me To The Moon (ver 2),"14,022","10,757,616",chords,https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-chords-335196,https://www.ultimate-guitar.com/artist/frank_sinatra_11333,5.0
50,51,Green Day,['Green Day'],Good Riddance Time Of Your Life,"18,338","10,693,314",chords,https://tabs.ultimate-guitar.com/tab/green-day/good-riddance-time-of-your-life-chords-12835,https://www.ultimate-guitar.com/artist/green_day_1368,5.0
51,52,Eric Clapton,['Eric Clapton'],Tears In Heaven,"5,700","10,643,923",tab,https://tabs.ultimate-guitar.com/tab/eric-clapton/tears-in-heaven-tabs-16131,https://www.ultimate-guitar.com/artist/eric_clapton_8974,5.0
52,53,Plain White T's,"[""Plain White T's""]",Hey There Delilah (ver 2),"4,532","10,568,608",tab,https://tabs.ultimate-guitar.com/tab/plain-white-ts/hey-there-delilah-tabs-185406,https://www.ultimate-guitar.com/artist/plain_white_ts_3257,5.0
53,54,Bruno Mars,['Bruno Mars'],Just The Way You Are,"6,157","10,329,748",chords,https://tabs.ultimate-guitar.com/tab/bruno-mars/just-the-way-you-are-chords-970416,https://www.ultimate-guitar.com/artist/bruno_mars_28280,5.0
54,55,James Arthur,['James Arthur'],Say You Wont Let Go (ver 4),"13,052","10,285,786",chords,https://tabs.ultimate-guitar.com/tab/james-arthur/say-you-wont-let-go-chords-1874747,https://www.ultimate-guitar.com/artist/james_arthur_38784,5.0
55,56,Sam Smith,['Sam Smith'],Stay With Me,"6,869","10,266,837",chords,https://tabs.ultimate-guitar.com/tab/sam-smith/stay-with-me-chords-1473600,https://www.ultimate-guitar.com/artist/sam_smith_41350,5.0
56,57,OneRepublic,['OneRepublic'],Counting Stars,"8,980","10,262,413",chords,https://tabs.ultimate-guitar.com/tab/onerepublic/counting-stars-chords-1233464,https://www.ultimate-guitar.com/artist/onerepublic_15735,5.0
57,58,Taylor Swift,['Taylor Swift'],You Belong With Me (ver 2),"9,247","10,203,450",chords,https://tabs.ultimate-guitar.com/tab/taylor-swift/you-belong-with-me-chords-752550,https://www.ultimate-guitar.com/artist/taylor_swift_16027,5.0
58,59,Red Hot Chili Peppers,['Red Hot Chili Peppers'],Under The Bridge,"3,059","10,096,343",tab,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/under-the-bridge-tabs-3832,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,4.5
59,60,Jason Mraz,['Jason Mraz'],Im Yours,"4,702","9,894,954",chords,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-chords-468625,https://www.ultimate-guitar.com/artist/jason_mraz_10984,5.0
60,61,Adele,['Adele'],When We Were Young,"10,908","9,775,886",chords,https://tabs.ultimate-guitar.com/tab/adele/when-we-were-young-chords-1782038,https://www.ultimate-guitar.com/artist/adele_20519,5.0
61,62,Adele,['Adele'],Rolling In The Deep,"1,767","9,572,305",chords,https://tabs.ultimate-guitar.com/tab/adele/rolling-in-the-deep-chords-1007655,https://www.ultimate-guitar.com/artist/adele_20519,4.5
62,63,Pink Floyd,['Pink Floyd'],Wish You Were Here (ver 5),"3,236","9,455,052",tab,https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-tabs-984061,https://www.ultimate-guitar.com/artist/pink_floyd_684,5.0
63,64,Ed Sheeran,['Ed Sheeran'],The A Team,"5,958","9,277,208",chords,https://tabs.ultimate-guitar.com/tab/ed-sheeran/the-a-team-chords-989712,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,5.0
64,65,Christina Perri,['Christina Perri'],Jar Of Hearts,"5,678","9,224,914",chords,https://tabs.ultimate-guitar.com/tab/christina-perri/jar-of-hearts-chords-963934,https://www.ultimate-guitar.com/artist/christina_perri_29331,5.0
65,66,Metallica,['Metallica'],One (ver 2),"3,236","8,851,336",tab,https://tabs.ultimate-guitar.com/tab/metallica/one-tabs-49686,https://www.ultimate-guitar.com/artist/metallica_954,5.0
66,67,Coldplay,['Coldplay'],Fix You (ver 2),"11,997","8,838,583",chords,https://tabs.ultimate-guitar.com/tab/coldplay/fix-you-chords-202594,https://www.ultimate-guitar.com/artist/coldplay_1782,5.0
67,68,Adele,['Adele'],Make You Feel My Love,"15,929","8,832,366",chords,https://tabs.ultimate-guitar.com/tab/adele/make-you-feel-my-love-chords-752102,https://www.ultimate-guitar.com/artist/adele_20519,5.0
68,69,Snow Patrol,['Snow Patrol'],Chasing Cars,"7,707","8,817,253",chords,https://tabs.ultimate-guitar.com/tab/snow-patrol/chasing-cars-chords-355425,https://www.ultimate-guitar.com/artist/snow_patrol_7220,5.0
69,70,Misc Cartoons/Idina Menzel,"['Misc Cartoons', 'Idina Menzel']",Frozen - Let It Go,"6,576","8,718,739",chords,https://tabs.ultimate-guitar.com/tab/misc-cartoons/frozen-let-it-go-chords-1445224,https://www.ultimate-guitar.com/artist/misc_cartoons_6356,5.0
70,71,4 Non Blondes,['4 Non Blondes'],Whats Up (ver 2),"16,696","8,707,690",chords,https://tabs.ultimate-guitar.com/tab/4-non-blondes/whats-up-chords-349210,https://www.ultimate-guitar.com/artist/4_non_blondes_2044,5.0
71,72,"Misc Soundtrack/Lady Gaga, Bradley Cooper","['Misc Soundtrack', 'Lady Gaga', 'Bradley Cooper']",A Star Is Born - Shallow,"23,405","8,705,961",chords,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/a-star-is-born-shallow-chords-2480119,https://www.ultimate-guitar.com/artist/misc_soundtrack_910,5.0
72,73,Rihanna feat. Mikky Ekko,"['Rihanna', 'Mikky Ekko']",Stay,"8,115","8,672,534",chords,https://tabs.ultimate-guitar.com/tab/rihanna/stay-chords-1195964,https://www.ultimate-guitar.com/artist/rihanna_14817,5.0
73,74,Sam Smith,['Sam Smith'],Im Not The Only One,"6,421","8,616,460",chords,https://tabs.ultimate-guitar.com/tab/sam-smith/im-not-the-only-one-chords-1489018,https://www.ultimate-guitar.com/artist/sam_smith_41350,5.0
74,75,Don McLean,['Don McLean'],American Pie,"15,058","8,520,905",chords,https://tabs.ultimate-guitar.com/tab/don-mclean/american-pie-chords-187946,https://www.ultimate-guitar.com/artist/don_mclean_10895,5.0
75,76,The Fray,['The Fray'],How To Save A Life,"5,345","8,503,927",chords,https://tabs.ultimate-guitar.com/tab/the-fray/how-to-save-a-life-chords-258804,https://www.ultimate-guitar.com/artist/the_fray_11997,5.0
76,77,Bruno Mars,['Bruno Mars'],Grenade,"3,874","8,496,760",chords,https://tabs.ultimate-guitar.com/tab/bruno-mars/grenade-chords-993953,https://www.ultimate-guitar.com/artist/bruno_mars_28280,5.0
77,78,Metallica,['Metallica'],Master Of Puppets (ver 2),"3,467","8,460,334",tab,https://tabs.ultimate-guitar.com/tab/metallica/master-of-puppets-tabs-47673,https://www.ultimate-guitar.com/artist/metallica_954,5.0
78,79,Green Day,['Green Day'],Wake Me Up When September Ends (ver 3),"3,689","8,326,176",tab,https://tabs.ultimate-guitar.com/tab/green-day/wake-me-up-when-september-ends-tabs-141135,https://www.ultimate-guitar.com/artist/green_day_1368,5.0
79,80,Metallica,['Metallica'],Fade To Black (ver 2),"2,530","8,259,222",tab,https://tabs.ultimate-guitar.com/tab/metallica/fade-to-black-tabs-23218,https://www.ultimate-guitar.com/artist/metallica_954,5.0
80,81,The Script,['The Script'],The Man Who Cant Be Moved,"3,529","8,225,168",chords,https://tabs.ultimate-guitar.com/tab/the-script/the-man-who-cant-be-moved-chords-716149,https://www.ultimate-guitar.com/artist/the_script_21411,5.0
81,82,Bob Dylan,['Bob Dylan'],Knockin On Heavens Door (ver 2),"14,434","8,066,850",chords,https://tabs.ultimate-guitar.com/tab/bob-dylan/knockin-on-heavens-door-chords-66559,https://www.ultimate-guitar.com/artist/bob_dylan_10212,5.0
82,83,Dolly Parton,['Dolly Parton'],Jolene (ver 2),"23,007","8,028,632",chords,https://tabs.ultimate-guitar.com/tab/dolly-parton/jolene-chords-183019,https://www.ultimate-guitar.com/artist/dolly_parton_11081,5.0
83,84,The Script,['The Script'],Breakeven,"4,169","7,977,591",chords,https://tabs.ultimate-guitar.com/tab/the-script/breakeven-chords-733647,https://www.ultimate-guitar.com/artist/the_script_21411,5.0
84,85,Nirvana,['Nirvana'],Smells Like Teen Spirit,"3,181","7,974,348",tab,https://tabs.ultimate-guitar.com/tab/nirvana/smells-like-teen-spirit-tabs-202727,https://www.ultimate-guitar.com/artist/nirvana_780,5.0
85,86,The Neighbourhood,['The Neighbourhood'],Sweater Weather  Acoustic,"8,837","7,867,217",chords,https://tabs.ultimate-guitar.com/tab/the-neighbourhood/sweater-weather-chords-1237978,https://www.ultimate-guitar.com/artist/the_neighbourhood_39075,5.0
86,87,John Denver,['John Denver'],Take Me Home Country Roads,"21,949","7,796,381",chords,https://tabs.ultimate-guitar.com/tab/john-denver/take-me-home-country-roads-chords-57606,https://www.ultimate-guitar.com/artist/john_denver_10167,5.0
87,88,Guns N' Roses,"[""Guns N' Roses""]",Sweet Child O Mine,"5,760","7,787,962",chords,https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-chords-176076,https://www.ultimate-guitar.com/artist/guns_n_roses_1367,5.0
88,89,The Beatles,['The Beatles'],Let It Be (ver 2),"2,935","7,770,906",chords,https://tabs.ultimate-guitar.com/tab/the-beatles/let-it-be-chords-60690,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
89,90,Death Cab for Cutie,['Death Cab for Cutie'],I Will Follow You Into The Dark (ver 3),"12,413","7,769,342",chords,https://tabs.ultimate-guitar.com/tab/death-cab-for-cutie/i-will-follow-you-into-the-dark-chords-335735,https://www.ultimate-guitar.com/artist/death_cab_for_cutie_7750,5.0
90,91,The Beatles,['The Beatles'],Hey Jude (ver 7),"8,529","7,735,351",chords,https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords-1061739,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
91,92,Jeff Buckley,['Jeff Buckley'],Hallelujah,"5,488","7,707,606",chords,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-chords-27336,https://www.ultimate-guitar.com/artist/jeff_buckley_9898,5.0
92,93,Elton John,['Elton John'],Your Song,"10,750","7,500,055",chords,https://tabs.ultimate-guitar.com/tab/elton-john/your-song-chords-29113,https://www.ultimate-guitar.com/artist/elton_john_10605,5.0
93,94,Cat Stevens (Yusuf Islam),['Cat Stevens (Yusuf Islam)'],Father And Son,"15,859","7,318,730",chords,https://tabs.ultimate-guitar.com/tab/cat-stevens-yusuf-islam/father-and-son-chords-84491,https://www.ultimate-guitar.com/artist/cat_stevens_yusuf_islam_2658,5.0
94,95,Calum Scott,['Calum Scott'],You Are The Reason (ver 3),"7,923","7,301,454",chords,https://tabs.ultimate-guitar.com/tab/calum-scott/you-are-the-reason-chords-2267805,https://www.ultimate-guitar.com/artist/calum_scott_61085,5.0
95,96,James Blunt,['James Blunt'],Youre Beautiful (ver 2),"4,156","7,244,734",chords,https://tabs.ultimate-guitar.com/tab/james-blunt/youre-beautiful-chords-180394,https://www.ultimate-guitar.com/artist/james_blunt_8871,5.0
96,97,Radiohead,['Radiohead'],Karma Police (ver 2),"9,869","7,236,093",chords,https://tabs.ultimate-guitar.com/tab/radiohead/karma-police-chords-103398,https://www.ultimate-guitar.com/artist/radiohead_578,5.0
97,98,Queen,['Queen'],Bohemian Rhapsody (ver 5),"4,676","7,202,009",chords,https://tabs.ultimate-guitar.com/tab/queen/bohemian-rhapsody-chords-1716013,https://www.ultimate-guitar.com/artist/queen_590,5.0
98,99,A Great Big World feat. Christina Aguilera,"['A Great Big World', 'Christina Aguilera']",Say Something (ver 2),"7,360","7,187,229",chords,https://tabs.ultimate-guitar.com/tab/a-great-big-world/say-something-chords-1429805,https://www.ultimate-guitar.com/artist/a_great_big_world_42233,5.0
99,100,Gotye feat. Kimbra,"['Gotye', 'Kimbra']",Somebody That I Used To Know (ver 2),"4,794","7,060,348",chords,https://tabs.ultimate-guitar.com/tab/gotye/somebody-that-i-used-to-know-chords-1094597,https://www.ultimate-guitar.com/artist/gotye_22374,5.0
100,101,Bob Marley & The Wailers,"['Bob Marley', 'The Wailers']",Redemption Song (ver 2),"7,445","7,057,009",chords,https://tabs.ultimate-guitar.com/tab/bob-marley/redemption-song-chords-417640,https://www.ultimate-guitar.com/artist/bob_marley_9676,5.0
101,102,Metallica,['Metallica'],Enter Sandman (ver 4),"2,399","6,995,321",tab,https://tabs.ultimate-guitar.com/tab/metallica/enter-sandman-tabs-29727,https://www.ultimate-guitar.com/artist/metallica_954,5.0
102,103,The Lumineers,['The Lumineers'],Ho Hey (ver 2),"7,474","6,974,656",chords,https://tabs.ultimate-guitar.com/tab/the-lumineers/ho-hey-chords-1144876,https://www.ultimate-guitar.com/artist/the_lumineers_32384,5.0
103,104,P!nk feat. Nate Ruess,"['P!nk', 'Nate Ruess']",Just Give Me A Reason,"3,291","6,974,644",chords,https://tabs.ultimate-guitar.com/tab/pnk/just-give-me-a-reason-chords-1183088,https://www.ultimate-guitar.com/artist/pnk_612,5.0
104,105,Simon & Garfunkel,['Simon & Garfunkel'],The Sound Of Silence (ver 2),"16,196","6,924,713",chords,https://tabs.ultimate-guitar.com/tab/simon-garfunkel/the-sound-of-silence-chords-159157,https://www.ultimate-guitar.com/artist/simon_garfunkel_274,5.0
105,106,Bon Iver,['Bon Iver'],Skinny Love (ver 2),"4,086","6,884,539",chords,https://tabs.ultimate-guitar.com/tab/bon-iver/skinny-love-chords-835053,https://www.ultimate-guitar.com/artist/bon_iver_21196,5.0
106,107,Green Day,['Green Day'],21 Guns,"3,191","6,873,647",chords,https://tabs.ultimate-guitar.com/tab/green-day/21-guns-chords-823449,https://www.ultimate-guitar.com/artist/green_day_1368,5.0
107,108,Lynyrd Skynyrd,['Lynyrd Skynyrd'],Sweet Home Alabama Intro,"1,522","6,870,975",tab,https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/sweet-home-alabama-tabs-9375,https://www.ultimate-guitar.com/artist/lynyrd_skynyrd_1032,4.5
108,109,Shawn Mendes,['Shawn Mendes'],Stitches,"3,214","6,697,516",chords,https://tabs.ultimate-guitar.com/tab/shawn-mendes/stitches-chords-1721601,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,5.0
109,110,Ed Sheeran,['Ed Sheeran'],Shape Of You (ver 2),"1,818","6,654,800",chords,https://tabs.ultimate-guitar.com/tab/ed-sheeran/shape-of-you-chords-1928439,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,5.0
110,111,David Guetta feat. Sia,"['David Guetta', 'Sia']",Titanium (ver 2),"6,365","6,631,580",chords,https://tabs.ultimate-guitar.com/tab/david-guetta/titanium-chords-1098920,https://www.ultimate-guitar.com/artist/david_guetta_9590,5.0
111,112,Mumford & Sons,['Mumford & Sons'],Little Lion Man (ver 2),"5,794","6,615,193",chords,https://tabs.ultimate-guitar.com/tab/mumford-sons/little-lion-man-chords-872773,https://www.ultimate-guitar.com/artist/mumford_sons_26400,5.0
112,113,Foster the People,['Foster the People'],Pumped Up Kicks,"4,216","6,607,008",chords,https://tabs.ultimate-guitar.com/tab/foster-the-people/pumped-up-kicks-chords-1032143,https://www.ultimate-guitar.com/artist/foster_the_people_30265,5.0
113,114,Hozier,['Hozier'],Take Me To Church  Acoustic,"7,210","6,503,528",chords,https://tabs.ultimate-guitar.com/tab/hozier/take-me-to-church-chords-1442757,https://www.ultimate-guitar.com/artist/hozier_42832,5.0
114,115,Queen,['Queen'],Love Of My Life,"8,691","6,481,366",chords,https://tabs.ultimate-guitar.com/tab/queen/love-of-my-life-chords-340088,https://www.ultimate-guitar.com/artist/queen_590,5.0
115,116,Kansas,['Kansas'],Dust In The Wind,"2,582","6,476,605",tab,https://tabs.ultimate-guitar.com/tab/kansas/dust-in-the-wind-tabs-72957,https://www.ultimate-guitar.com/artist/kansas_1065,5.0
116,117,Avicii,['Avicii'],Wake Me Up (ver 2),"2,004","6,472,426",chords,https://tabs.ultimate-guitar.com/tab/avicii/wake-me-up-chords-1397194,https://www.ultimate-guitar.com/artist/avicii_34411,4.5
117,118,Matt Redman,['Matt Redman'],10000 Reasons Bless The Lord,"7,934","6,459,221",chords,https://tabs.ultimate-guitar.com/tab/matt-redman/10000-reasons-bless-the-lord-chords-1076668,https://www.ultimate-guitar.com/artist/matt_redman_11159,5.0
118,119,The White Stripes,['The White Stripes'],Seven Nation Army (ver 7),"1,132","6,440,376",tab,https://tabs.ultimate-guitar.com/tab/the-white-stripes/seven-nation-army-tabs-55331,https://www.ultimate-guitar.com/artist/the_white_stripes_2241,4.5
