,rank,artist,artist_list,song,ratings,hits,type,song_link,artist_link,star_count
146,147,Coldplay,['Coldplay'],Fix You (ver 16),"5,151","5,845,308",chords,https://tabs.ultimate-guitar.com/tab/coldplay/fix-you-chords-1863305,https://www.ultimate-guitar.com/artist/coldplay_1782,5.0
147,148,Gary Jules,['Gary Jules'],Mad World,"13,103","5,841,738",chords,https://tabs.ultimate-guitar.com/tab/gary-jules/mad-world-chords-97039,https://www.ultimate-guitar.com/artist/gary_jules_10636,5.0
148,149,Jeff Buckley,['Jeff Buckley'],Hallelujah (ver 3),"5,647","5,750,738",chords,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-chords-328812,https://www.ultimate-guitar.com/artist/jeff_buckley_9898,5.0
149,150,A Great Big World feat. Christina Aguilera,"['A Great Big World', 'Christina Aguilera']",Say Something (ver 3),"5,254","5,728,807",chords,https://tabs.ultimate-guitar.com/tab/a-great-big-world/say-something-chords-1443639,https://www.ultimate-guitar.com/artist/a_great_big_world_42233,5.0
150,151,James Bay,['James Bay'],Let It Go (ver 2),"5,953","5,720,419",chords,https://tabs.ultimate-guitar.com/tab/james-bay/let-it-go-chords-1680532,https://www.ultimate-guitar.com/artist/james_bay_41818,5.0
151,152,Fiersa Besari feat. Thantri Sundari,"['Fiersa Besari', 'Thantri Sundari']",Waktu Yang Salah,402,"5,706,108",chords,https://tabs.ultimate-guitar.com/tab/fiersa-besari/waktu-yang-salah-chords-1693913,https://www.ultimate-guitar.com/artist/fiersa_besari_43192,5.0
152,153,The Beatles,['The Beatles'],Blackbird (ver 5),"5,093","5,694,167",tab,https://tabs.ultimate-guitar.com/tab/the-beatles/blackbird-tabs-180986,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
153,154,Ozzy Osbourne,['Ozzy Osbourne'],Crazy Train (ver 4),"1,901","5,690,013",tab,https://tabs.ultimate-guitar.com/tab/ozzy-osbourne/crazy-train-tabs-38622,https://www.ultimate-guitar.com/artist/ozzy_osbourne_11046,4.5
154,155,Hillsong United,['Hillsong United'],Oceans Where Feet May Fail,"6,443","5,666,156",chords,https://tabs.ultimate-guitar.com/tab/hillsong-united/oceans-where-feet-may-fail-chords-1218238,https://www.ultimate-guitar.com/artist/hillsong_united_19737,5.0
155,156,One Direction,['One Direction'],Night Changes,"4,938","5,660,859",chords,https://tabs.ultimate-guitar.com/tab/one-direction/night-changes-chords-1678440,https://www.ultimate-guitar.com/artist/one_direction_31267,5.0
156,157,Pink Floyd,['Pink Floyd'],Wish You Were Here (ver 4),"5,659","5,630,806",tab,https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-tabs-104578,https://www.ultimate-guitar.com/artist/pink_floyd_684,5.0
157,158,Jason Mraz,['Jason Mraz'],Im Yours,237,"5,615,245",tab,https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-tabs-263920,https://www.ultimate-guitar.com/artist/jason_mraz_10984,3.5
158,159,Jason Mraz feat. Colbie Caillat,"['Jason Mraz', 'Colbie Caillat']",Lucky,"3,499","5,597,643",chords,https://tabs.ultimate-guitar.com/tab/jason-mraz/lucky-chords-681255,https://www.ultimate-guitar.com/artist/jason_mraz_10984,5.0
159,160,Black Sabbath,['Black Sabbath'],Iron Man (ver 2),"2,357","5,588,802",tab,https://tabs.ultimate-guitar.com/tab/black-sabbath/iron-man-tabs-21301,https://www.ultimate-guitar.com/artist/black_sabbath_1898,5.0
160,161,The Beatles,['The Beatles'],Here Comes The Sun (ver 3),"5,416","5,535,110",tab,https://tabs.ultimate-guitar.com/tab/the-beatles/here-comes-the-sun-tabs-201130,https://www.ultimate-guitar.com/artist/the_beatles_1916,5.0
161,162,Red Hot Chili Peppers,['Red Hot Chili Peppers'],Californication,"6,447","5,511,962",chords,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/californication-chords-202765,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,5.0
162,163,David Guetta feat. Sia,"['David Guetta', 'Sia']",Titanium,"1,943","5,510,730",chords,https://tabs.ultimate-guitar.com/tab/david-guetta/titanium-chords-1085977,https://www.ultimate-guitar.com/artist/david_guetta_9590,4.5
163,164,Red Hot Chili Peppers,['Red Hot Chili Peppers'],Snow Hey Oh,"1,284","5,502,457",tab,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/snow-hey-oh-tabs-360889,https://www.ultimate-guitar.com/artist/red_hot_chili_peppers_554,4.5
164,165,Wham!,['Wham!'],Last Christmas,"4,052","5,479,071",chords,https://tabs.ultimate-guitar.com/tab/wham/last-christmas-chords-169565,https://www.ultimate-guitar.com/artist/wham_12597,5.0
165,166,Nirvana,['Nirvana'],Come As You Are,"1,228","5,473,536",tab,https://tabs.ultimate-guitar.com/tab/nirvana/come-as-you-are-tabs-47319,https://www.ultimate-guitar.com/artist/nirvana_780,4.5
166,167,Extreme,['Extreme'],More Than Words (ver 3),"1,159","5,458,108",tab,https://tabs.ultimate-guitar.com/tab/extreme/more-than-words-tabs-41780,https://www.ultimate-guitar.com/artist/extreme_1498,5.0
167,168,Eric Clapton,['Eric Clapton'],Tears In Heaven,"5,199","5,428,167",chords,https://tabs.ultimate-guitar.com/tab/eric-clapton/tears-in-heaven-chords-627220,https://www.ultimate-guitar.com/artist/eric_clapton_8974,5.0
168,169,Avenged Sevenfold,['Avenged Sevenfold'],So Far Away,"2,984","5,420,482",chords,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/so-far-away-chords-972646,https://www.ultimate-guitar.com/artist/avenged_sevenfold_7668,5.0
